"ID"	"GB_ACC"	"SPOT_ID"	"Species.Scientific.Name"	"Annotation.Date"	"Sequence.Type"	"Sequence.Source"	"Target.Description"	"Representative.Public.ID"	"Gene.Title"	"Gene.Symbol"	"ENTREZ_GENE_ID"	"RefSeq.Transcript.ID"	"Gene.Ontology.Biological.Process"	"Gene.Ontology.Cellular.Component"	"Gene.Ontology.Molecular.Function"
"1419736_a_at"	"NM_025437"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:NM_025437.1 /DB_XREF=gi:13384837 /GEN=1500010B24Rik /FEA=FLmRNA /CNT=118 /TID=Mm.65264.1 /TIER=FL /STK=6 /UG=Mm.65264 /LL=66235 /DEF=Mus musculus RIKEN cDNA 1500010B24 gene (1500010B24Rik), mRNA. /PROD=RIKEN cDNA 1500010B24 /FL=gb:NM_025437.1"	"NM_025437"	"eukaryotic translation initiation factor 1A, X-linked"	"Eif1ax"	"66235"	"NM_025437"	"0006412 // translation // inferred from electronic annotation /// 0006413 // translational initiation // inferred from electronic annotation"	""	"0003723 // RNA binding // inferred from electronic annotation /// 0003743 // translation initiation factor activity // inferred from electronic annotation"
"1419172_at"	"NM_010049"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:NM_010049.1 /DB_XREF=gi:7106288 /GEN=Dhfr /FEA=FLmRNA /CNT=64 /TID=Mm.23695.1 /TIER=FL+Stack /STK=12 /UG=Mm.23695 /LL=13361 /DEF=Mus musculus dihydrofolate reductase (Dhfr), mRNA. /PROD=dihydrofolate reductase /FL=gb:BC005796.1 gb:NM_010049.1 gb:L26316.1"	"NM_010049"	"dihydrofolate reductase"	"Dhfr"	"13361"	"NM_010049"	"0006545 // glycine biosynthetic process // inferred from electronic annotation /// 0006730 // one-carbon metabolic process // inferred from electronic annotation /// 0009165 // nucleotide biosynthetic process // inferred from electronic annotation /// 0031427 // response to methotrexate // inferred from electronic annotation /// 0035094 // response to nicotine // inferred from electronic annotation /// 0046452 // dihydrofolate metabolic process // not recorded /// 0046653 // tetrahydrofolate metabolic process // not recorded /// 0046654 // tetrahydrofolate biosynthetic process // not recorded /// 0055114 // oxidation-reduction process // inferred from direct assay"	"0005829 // cytosol // traceable author statement"	"0003723 // RNA binding // inferred from electronic annotation /// 0003729 // mRNA binding // not recorded /// 0004146 // dihydrofolate reductase activity // inferred from direct assay /// 0004146 // dihydrofolate reductase activity // not recorded /// 0008144 // drug binding // not recorded /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0050661 // NADP binding // not recorded /// 0051871 // dihydrofolic acid binding // not recorded"
"1460671_at"	"BI219063"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:BI219063 /DB_XREF=gi:14672507 /DB_XREF=602938679F1 /CLONE=IMAGE:5102011 /FEA=FLmRNA /CNT=285 /TID=Mm.1090.1 /TIER=Stack /STK=61 /UG=Mm.1090 /LL=14775 /UG_GENE=Gpx1 /UG_TITLE=glutathione peroxidase 1 /FL=gb:NM_008160.1"	"BI219063"	"glutathione peroxidase 1"	"Gpx1"	"14775"	"NM_008160"	"0000302 // response to reactive oxygen species // inferred from mutant phenotype /// 0001659 // temperature homeostasis // inferred from genetic interaction /// 0001885 // endothelial cell development // inferred from mutant phenotype /// 0002862 // negative regulation of inflammatory response to antigenic stimulus // inferred from genetic interaction /// 0006629 // lipid metabolic process // inferred from mutant phenotype /// 0006641 // triglyceride metabolic process // inferred from mutant phenotype /// 0006749 // glutathione metabolic process // not recorded /// 0006915 // apoptotic process // inferred from mutant phenotype /// 0006979 // response to oxidative stress // inferred from genetic interaction /// 0006979 // response to oxidative stress // inferred from mutant phenotype /// 0006982 // response to lipid hydroperoxide // not recorded /// 0007568 // aging // inferred from electronic annotation /// 0007605 // sensory perception of sound // inferred from mutant phenotype /// 0008283 // cell proliferation // inferred from mutant phenotype /// 0008631 // intrinsic apoptotic signaling pathway in response to oxidative stress // inferred from mutant phenotype /// 0009410 // response to xenobiotic stimulus // inferred from mutant phenotype /// 0009609 // response to symbiotic bacterium // inferred from genetic interaction /// 0009611 // response to wounding // inferred from mutant phenotype /// 0009636 // response to toxic substance // inferred from mutant phenotype /// 0009650 // UV protection // not recorded /// 0009725 // response to hormone // inferred from electronic annotation /// 0009749 // response to glucose // inferred from electronic annotation /// 0010269 // response to selenium ion // not recorded /// 0010332 // response to gamma radiation // inferred from genetic interaction /// 0014070 // response to organic cyclic compound // inferred from electronic annotation /// 0014902 // myotube differentiation // inferred from mutant phenotype /// 0018158 // protein oxidation // inferred from mutant phenotype /// 0032355 // response to estradiol // inferred from electronic annotation /// 0033194 // response to hydroperoxide // inferred from mutant phenotype /// 0033599 // regulation of mammary gland epithelial cell proliferation // not recorded /// 0035094 // response to nicotine // inferred from electronic annotation /// 0040029 // regulation of gene expression, epigenetic // not recorded /// 0042311 // vasodilation // inferred from mutant phenotype /// 0042542 // response to hydrogen peroxide // inferred from mutant phenotype /// 0042542 // response to hydrogen peroxide // not recorded /// 0042744 // hydrogen peroxide catabolic process // inferred from mutant phenotype /// 0042744 // hydrogen peroxide catabolic process // not recorded /// 0043066 // negative regulation of apoptotic process // inferred from mutant phenotype /// 0043154 // negative regulation of cysteine-type endopeptidase activity involved in apoptotic process // not recorded /// 0043403 // skeletal muscle tissue regeneration // inferred from mutant phenotype /// 0043523 // regulation of neuron apoptotic process // inferred from mutant phenotype /// 0043534 // blood vessel endothelial cell migration // inferred from mutant phenotype /// 0045444 // fat cell differentiation // inferred from mutant phenotype /// 0045454 // cell redox homeostasis // not recorded /// 0048741 // skeletal muscle fiber development // inferred from mutant phenotype /// 0051450 // myoblast proliferation // inferred from mutant phenotype /// 0051593 // response to folic acid // inferred from electronic annotation /// 0051702 // interaction with symbiont // inferred from genetic interaction /// 0051897 // positive regulation of protein kinase B signaling // inferred from mutant phenotype /// 0055114 // oxidation-reduction process // inferred from direct assay /// 0060047 // heart contraction // inferred from mutant phenotype /// 0060047 // heart contraction // not recorded /// 0060055 // angiogenesis involved in wound healing // inferred from mutant phenotype /// 0061136 // regulation of proteasomal protein catabolic process // not recorded /// 0090201 // negative regulation of release of cytochrome c from mitochondria // not recorded /// 1902042 // negative regulation of extrinsic apoptotic signaling pathway via death domain receptors // not recorded /// 1902176 // negative regulation of intrinsic apoptotic signaling pathway in response to oxidative stress // inferred from mutant phenotype"	"0005634 // nucleus // not recorded /// 0005737 // cytoplasm // not recorded /// 0005739 // mitochondrion // inferred from direct assay /// 0005739 // mitochondrion // inferred from mutant phenotype /// 0005739 // mitochondrion // not recorded"	"0004601 // peroxidase activity // inferred from electronic annotation /// 0004602 // glutathione peroxidase activity // inferred from direct assay /// 0004602 // glutathione peroxidase activity // inferred from mutant phenotype /// 0004602 // glutathione peroxidase activity // not recorded /// 0004866 // endopeptidase inhibitor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008430 // selenium binding // not recorded /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0017124 // SH3 domain binding // not recorded /// 0043295 // glutathione binding // not recorded /// 0047066 // phospholipid-hydroperoxide glutathione peroxidase activity // not recorded"
"1418127_a_at"	"BC003292"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:BC003292.1 /DB_XREF=gi:13097002 /FEA=FLmRNA /CNT=91 /TID=Mm.30050.1 /TIER=FL+Stack /STK=29 /UG=Mm.30050 /LL=26926 /UG_GENE=Pdcd8 /DEF=Mus musculus, programmed cell death 8 (apoptosis inducing factor), clone MGC:5706 IMAGE:3500037, mRNA, complete cds. /PROD=programmed cell death 8 (apoptosis inducingfactor) /FL=gb:AF100927.1 gb:BC003292.1 gb:NM_012019.1"	"BC003292"	"apoptosis-inducing factor, mitochondrion-associated 1"	"Aifm1"	"26926"	"NM_001290364 /// NM_012019 /// XM_006541496"	"0006309 // apoptotic DNA fragmentation // inferred from genetic interaction /// 0006915 // apoptotic process // not recorded /// 0006919 // activation of cysteine-type endopeptidase activity involved in apoptotic process // not recorded /// 0006979 // response to oxidative stress // traceable author statement /// 0008637 // apoptotic mitochondrial changes // traceable author statement /// 0010942 // positive regulation of cell death // inferred from mutant phenotype /// 0030182 // neuron differentiation // not recorded /// 0032981 // mitochondrial respiratory chain complex I assembly // not recorded /// 0043065 // positive regulation of apoptotic process // traceable author statement /// 0045454 // cell redox homeostasis // inferred from electronic annotation /// 0051402 // neuron apoptotic process // inferred from genetic interaction /// 0055114 // oxidation-reduction process // not recorded /// 0070059 // intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress // inferred from mutant phenotype /// 1902510 // regulation of apoptotic DNA fragmentation // inferred from genetic interaction"	"0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from mutant phenotype /// 0005634 // nucleus // not recorded /// 0005737 // cytoplasm // inferred from direct assay /// 0005739 // mitochondrion // inferred from direct assay /// 0005739 // mitochondrion // inferred from mutant phenotype /// 0005739 // mitochondrion // not recorded /// 0005741 // mitochondrial outer membrane // traceable author statement /// 0005743 // mitochondrial inner membrane // inferred from electronic annotation /// 0005758 // mitochondrial intermembrane space // not recorded /// 0005758 // mitochondrial intermembrane space // traceable author statement /// 0005829 // cytosol // inferred from direct assay /// 0005829 // cytosol // traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0048471 // perinuclear region of cytoplasm // inferred from electronic annotation"	"0000252 // C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity // inferred from electronic annotation /// 0003677 // DNA binding // inferred from direct assay /// 0004033 // aldo-keto reductase (NADP) activity // inferred from electronic annotation /// 0004174 // electron-transferring-flavoprotein dehydrogenase activity // traceable author statement /// 0004448 // isocitrate dehydrogenase activity // inferred from electronic annotation /// 0004495 // mevaldate reductase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008875 // gluconate dehydrogenase activity // inferred from electronic annotation /// 0016174 // NAD(P)H oxidase activity // inferred from direct assay /// 0016229 // steroid dehydrogenase activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016651 // oxidoreductase activity, acting on NAD(P)H // not recorded /// 0018451 // epoxide dehydrogenase activity // inferred from electronic annotation /// 0018452 // 5-exo-hydroxycamphor dehydrogenase activity // inferred from electronic annotation /// 0018453 // 2-hydroxytetrahydrofuran dehydrogenase activity // inferred from electronic annotation /// 0019152 // acetoin dehydrogenase activity // inferred from electronic annotation /// 0032442 // phenylcoumaran benzylic ether reductase activity // inferred from electronic annotation /// 0032866 // D-xylose:NADP reductase activity // inferred from electronic annotation /// 0032867 // L-arabinose:NADP reductase activity // inferred from electronic annotation /// 0033709 // D-arabinitol dehydrogenase, D-ribulose forming (NADP+) activity // inferred from electronic annotation /// 0033764 // steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // inferred from electronic annotation /// 0033765 // steroid dehydrogenase activity, acting on the CH-CH group of donors // inferred from electronic annotation /// 0034831 // (R)-(-)-1,2,3,4-tetrahydronaphthol dehydrogenase activity // inferred from electronic annotation /// 0034840 // 3-hydroxymenthone dehydrogenase activity // inferred from electronic annotation /// 0035380 // very long-chain-3-hydroxyacyl-CoA dehydrogenase activity // inferred from electronic annotation /// 0035410 // dihydrotestosterone 17-beta-dehydrogenase activity // inferred from electronic annotation /// 0043713 // (R)-2-hydroxyisocaproate dehydrogenase activity // inferred from electronic annotation /// 0044103 // L-arabinose 1-dehydrogenase (NADP+) activity // inferred from electronic annotation /// 0044105 // L-xylulose reductase (NAD+) activity // inferred from electronic annotation /// 0046983 // protein dimerization activity // inferred from electronic annotation /// 0048258 // 3-ketoglucose-reductase activity // inferred from electronic annotation /// 0050660 // flavin adenine dinucleotide binding // inferred from electronic annotation /// 0051990 // (R)-2-hydroxyglutarate dehydrogenase activity // inferred from electronic annotation /// 0052677 // D-arabinitol dehydrogenase, D-xylulose forming (NADP+) activity // inferred from electronic annotation /// 0071949 // FAD binding // inferred from direct assay"
"1416542_at"	"NM_009343"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:NM_009343.1 /DB_XREF=gi:6678266 /GEN=Tctex3 /FEA=FLmRNA /CNT=118 /TID=Mm.18643.1 /TIER=FL+Stack /STK=83 /UG=Mm.18643 /LL=21652 /DEF=Mus musculus t-complex testis-expressed 3 (Tctex3), mRNA. /PROD=t-complex testis-expressed 3 /FL=gb:BC015077.1 gb:NM_009343.1 gb:AB011550.1 gb:U81490.1"	"NM_009343"	"PHD finger protein 1"	"Phf1"	"21652"	"NM_009343 /// XM_006524025 /// XM_006524026 /// XR_385312"	"0006351 // transcription, DNA-templated // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-templated // inferred from electronic annotation /// 0006974 // cellular response to DNA damage stimulus // not recorded /// 0016568 // chromatin modification // inferred from electronic annotation /// 0061086 // negative regulation of histone H3-K27 methylation // not recorded /// 0061087 // positive regulation of histone H3-K27 methylation // not recorded"	"0005634 // nucleus // not recorded /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005815 // microtubule organizing center // inferred from electronic annotation /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0035098 // ESC/E(Z) complex // not recorded /// 0035861 // site of double-strand break // not recorded"	"0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0035064 // methylated histone binding // inferred from direct assay /// 0035064 // methylated histone binding // not recorded /// 0046872 // metal ion binding // inferred from electronic annotation"
"1424786_s_at"	"BC011479"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:BC011479.1 /DB_XREF=gi:15079284 /FEA=FLmRNA /CNT=39 /TID=Mm.28850.1 /TIER=FL+Stack /STK=16 /UG=Mm.28850 /LL=54636 /UG_GENE=DXImx38e /DEF=Mus musculus, Similar to JM5 protein, clone MGC:19294 IMAGE:4035468, mRNA, complete cds. /PROD=Similar to JM5 protein /FL=gb:BC011479.1"	"BC011479"	"WD repeat domain 45"	"Wdr45"	"54636"	"NM_001290792 /// NM_001290794 /// NM_001290795 /// NM_172372 /// XM_006527655 /// XM_006527656 /// XM_006527657 /// XM_006527658 /// XM_006527659 /// XM_006527660 /// XM_006527661 /// XM_006527662"	"0000045 // autophagic vacuole assembly // not recorded /// 0006914 // autophagy // not recorded /// 0050790 // regulation of catalytic activity // inferred from electronic annotation"	"0005737 // cytoplasm // not recorded"	"0005083 // small GTPase regulator activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0032266 // phosphatidylinositol-3-phosphate binding // not recorded /// 0080025 // phosphatidylinositol-3,5-bisphosphate binding // not recorded"
"1419221_a_at"	"NM_016758"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:NM_016758.1 /DB_XREF=gi:7949122 /GEN=Rgs14 /FEA=FLmRNA /CNT=16 /TID=Mm.1426.1 /TIER=FL+Stack /STK=12 /UG=Mm.1426 /LL=51791 /DEF=Mus musculus regulator of G-protein signaling 14 (Rgs14), mRNA. /PROD=regulator of G-protein signaling 14 /FL=gb:U85055.1 gb:NM_016758.1"	"NM_016758"	"regulator of G-protein signaling 14"	"Rgs14"	"51791"	"NM_016758"	"0006913 // nucleocytoplasmic transport // inferred from direct assay /// 0006913 // nucleocytoplasmic transport // not recorded /// 0006979 // response to oxidative stress // not recorded /// 0007049 // cell cycle // inferred from electronic annotation /// 0007051 // spindle organization // inferred from mutant phenotype /// 0007051 // spindle organization // not recorded /// 0007059 // chromosome segregation // inferred from mutant phenotype /// 0007067 // mitotic nuclear division // inferred from mutant phenotype /// 0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor signaling pathway // traceable author statement /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007612 // learning // inferred from mutant phenotype /// 0007616 // long-term memory // inferred from mutant phenotype /// 0008277 // regulation of G-protein coupled receptor protein signaling pathway // not recorded /// 0008542 // visual learning // not recorded /// 0009968 // negative regulation of signal transduction // inferred from electronic annotation /// 0010070 // zygote asymmetric cell division // inferred from mutant phenotype /// 0031914 // negative regulation of synaptic plasticity // inferred from mutant phenotype /// 0035556 // intracellular signal transduction // inferred from direct assay /// 0038032 // termination of G-protein coupled receptor signaling pathway // inferred from electronic annotation /// 0043407 // negative regulation of MAP kinase activity // inferred from mutant phenotype /// 0043547 // positive regulation of GTPase activity // not recorded /// 0043620 // regulation of DNA-templated transcription in response to stress // inferred from direct assay /// 0048008 // platelet-derived growth factor receptor signaling pathway // not recorded /// 0050769 // positive regulation of neurogenesis // not recorded /// 0051301 // cell division // not recorded /// 0060291 // long-term synaptic potentiation // inferred from direct assay /// 0070373 // negative regulation of ERK1 and ERK2 cascade // not recorded"	"0000922 // spindle pole // not recorded /// 0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // not recorded /// 0005737 // cytoplasm // not recorded /// 0005737 // cytoplasm // inferred from direct assay /// 0005813 // centrosome // inferred from direct assay /// 0005813 // centrosome // not recorded /// 0005815 // microtubule organizing center // inferred from electronic annotation /// 0005819 // spindle // inferred from direct assay /// 0005819 // spindle // not recorded /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005874 // microtubule // inferred from electronic annotation /// 0005886 // plasma membrane // not recorded /// 0005886 // plasma membrane // inferred from direct assay /// 0014069 // postsynaptic density // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0016604 // nuclear body // inferred from direct assay /// 0016605 // PML body // inferred from electronic annotation /// 0030054 // cell junction // inferred from electronic annotation /// 0030425 // dendrite // inferred from direct assay /// 0030425 // dendrite // not recorded /// 0042995 // cell projection // inferred from electronic annotation /// 0043197 // dendritic spine // inferred from direct assay /// 0045111 // intermediate filament cytoskeleton // inferred from electronic annotation /// 0045202 // synapse // inferred from electronic annotation /// 0045211 // postsynaptic membrane // inferred from electronic annotation"	"0001965 // G-protein alpha-subunit binding // not recorded /// 0005057 // receptor signaling protein activity // inferred from direct assay /// 0005092 // GDP-dissociation inhibitor activity // not recorded /// 0005096 // GTPase activator activity // not recorded /// 0005096 // GTPase activator activity // inferred from direct assay /// 0005096 // GTPase activator activity // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0008017 // microtubule binding // not recorded /// 0019901 // protein kinase binding // not recorded /// 0030159 // receptor signaling complex scaffold activity // not recorded /// 0030695 // GTPase regulator activity // inferred from electronic annotation /// 0032794 // GTPase activating protein binding // inferred from physical interaction"
"1433593_at"	"BB316456"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:BB316456 /DB_XREF=gi:16403106 /DB_XREF=BB316456 /CLONE=B230364H15 /FEA=EST /CNT=90 /TID=Mm.22145.2 /TIER=Stack /STK=86 /UG=Mm.22145 /LL=69687 /UG_GENE=2310076K21Rik /UG_TITLE=RIKEN cDNA 2310076K21 gene"	"BB316456"	"yippee-like 5 (Drosophila)"	"Ypel5"	"383295"	"NM_027166 /// XM_006524538 /// XM_006524539 /// XM_006524540 /// XM_006524541 /// XM_006524542"	""	""	""
"1418180_at"	"BG916549"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:AF062566.1 /DB_XREF=gi:3135322 /FEA=FLmRNA /CNT=80 /TID=Mm.4618.1 /TIER=FL+Stack /STK=28 /UG=Mm.4618 /LL=20683 /UG_GENE=Sp1 /DEF=Mus musculus transcription factor Sp1 mRNA, complete cds. /PROD=transcription factor Sp1 /FL=gb:NM_013672.1 gb:AF022363.1 gb:AF062566.1"	"BG916549"	"trans-acting transcription factor 1"	"Sp1"	"20683"	"NM_013672 /// XM_006520673 /// XM_006520674"	"0001503 // ossification // inferred from genetic interaction /// 0001701 // in utero embryonic development // inferred from genetic interaction /// 0001829 // trophectodermal cell differentiation // inferred from genetic interaction /// 0001889 // liver development // inferred from genetic interaction /// 0001892 // embryonic placenta development // inferred from genetic interaction /// 0006351 // transcription, DNA-templated // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-templated // inferred from mutant phenotype /// 0006355 // regulation of transcription, DNA-templated // not recorded /// 0006357 // regulation of transcription from RNA polymerase II promoter // not recorded /// 0006366 // transcription from RNA polymerase II promoter // inferred from direct assay /// 0030219 // megakaryocyte differentiation // inferred from genetic interaction /// 0030324 // lung development // inferred from genetic interaction /// 0043353 // enucleate erythrocyte differentiation // inferred from genetic interaction /// 0043923 // positive regulation by host of viral transcription // not recorded /// 0045893 // positive regulation of transcription, DNA-templated // inferred from direct assay /// 0045893 // positive regulation of transcription, DNA-templated // not recorded /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from direct assay /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from genetic interaction /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from mutant phenotype /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // not recorded /// 0048596 // embryonic camera-type eye morphogenesis // inferred from genetic interaction /// 0048706 // embryonic skeletal system development // inferred from genetic interaction /// 0060136 // embryonic process involved in female pregnancy // inferred from genetic interaction /// 0060216 // definitive hemopoiesis // inferred from genetic interaction"	"0000790 // nuclear chromatin // inferred from direct assay /// 0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // not recorded /// 0005737 // cytoplasm // inferred from electronic annotation /// 0032993 // protein-DNA complex // not recorded"	"0000978 // RNA polymerase II core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0000979 // RNA polymerase II core promoter sequence-specific DNA binding // inferred from direct assay /// 0000987 // core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0001046 // core promoter sequence-specific DNA binding // inferred from direct assay /// 0001077 // RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription // inferred from direct assay /// 0001103 // RNA polymerase II repressing transcription factor binding // inferred from physical interaction /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from direct assay /// 0003677 // DNA binding // not recorded /// 0003677 // DNA binding // inferred from sequence or structural similarity /// 0003690 // double-stranded DNA binding // inferred from direct assay /// 0003690 // double-stranded DNA binding // not recorded /// 0003700 // sequence-specific DNA binding transcription factor activity // inferred from direct assay /// 0003700 // sequence-specific DNA binding transcription factor activity // inferred from mutant phenotype /// 0003700 // sequence-specific DNA binding transcription factor activity // not recorded /// 0005515 // protein binding // inferred from physical interaction /// 0008022 // protein C-terminus binding // not recorded /// 0008134 // transcription factor binding // not recorded /// 0035035 // histone acetyltransferase binding // not recorded /// 0035326 // enhancer binding // inferred from direct assay /// 0042803 // protein homodimerization activity // not recorded /// 0042826 // histone deacetylase binding // not recorded /// 0043425 // bHLH transcription factor binding // inferred from physical interaction /// 0043565 // sequence-specific DNA binding // inferred from direct assay /// 0043565 // sequence-specific DNA binding // not recorded /// 0044212 // transcription regulatory region DNA binding // not recorded /// 0046872 // metal ion binding // inferred from electronic annotation /// 0071837 // HMG box domain binding // not recorded"
"1417444_at"	"BC003220"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:BC003220.1 /DB_XREF=gi:13096847 /FEA=FLmRNA /CNT=68 /TID=Mm.379.1 /TIER=FL+Stack /STK=45 /UG=Mm.379 /LL=13559 /UG_GENE=E2f5 /DEF=Mus musculus, Similar to E2F transcription factor 5, clone MGC:6043 IMAGE:3482306, mRNA, complete cds. /PROD=Similar to E2F transcription factor 5 /FL=gb:NM_007892.1 gb:BC003220.1"	"BC003220"	"E2F transcription factor 5"	"E2f5"	"13559"	"NM_007892 /// XM_006530051"	"0000082 // G1/S transition of mitotic cell cycle // traceable author statement /// 0006351 // transcription, DNA-templated // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-templated // inferred from direct assay /// 0009887 // organ morphogenesis // inferred from mutant phenotype /// 0051726 // regulation of cell cycle // traceable author statement"	"0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // not recorded /// 0005635 // nuclear envelope // traceable author statement /// 0005667 // transcription factor complex // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from direct assay /// 0016528 // sarcoplasm // not recorded"	"0003677 // DNA binding // inferred from electronic annotation /// 0003700 // sequence-specific DNA binding transcription factor activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0008134 // transcription factor binding // not recorded /// 0043565 // sequence-specific DNA binding // not recorded"
"1417878_at"	"NM_007891"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:NM_007891.1 /DB_XREF=gi:6681242 /GEN=E2f1 /FEA=FLmRNA /CNT=61 /TID=Mm.18036.1 /TIER=FL+Stack /STK=34 /UG=Mm.18036 /LL=13555 /DEF=Mus musculus E2F transcription factor 1 (E2f1), mRNA. /PROD=E2F transcription factor 1 /FL=gb:L21973.1 gb:AF483515.1 gb:AF483514.1 gb:NM_007891.1"	"NM_007891"	"E2F transcription factor 1"	"E2f1"	"13555"	"NM_001291105 /// NM_007891 /// XM_006498694"	"0000077 // DNA damage checkpoint // not recorded /// 0000122 // negative regulation of transcription from RNA polymerase II promoter // not recorded /// 0006351 // transcription, DNA-templated // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-templated // inferred from direct assay /// 0006355 // regulation of transcription, DNA-templated // not recorded /// 0006915 // apoptotic process // inferred from electronic annotation /// 0007049 // cell cycle // inferred from electronic annotation /// 0007283 // spermatogenesis // inferred from electronic annotation /// 0008630 // intrinsic apoptotic signaling pathway in response to DNA damage // not recorded /// 0010628 // positive regulation of gene expression // not recorded /// 0030900 // forebrain development // inferred from mutant phenotype /// 0043276 // anoikis // inferred from direct assay /// 0045892 // negative regulation of transcription, DNA-templated // not recorded /// 0045893 // positive regulation of transcription, DNA-templated // inferred from direct assay /// 0045893 // positive regulation of transcription, DNA-templated // not recorded /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from direct assay /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // not recorded /// 0048146 // positive regulation of fibroblast proliferation // not recorded /// 0048255 // mRNA stabilization // not recorded /// 0051726 // regulation of cell cycle // inferred from direct assay /// 0071363 // cellular response to growth factor stimulus // not recorded /// 0071398 // cellular response to fatty acid // inferred from electronic annotation /// 0071456 // cellular response to hypoxia // inferred from electronic annotation /// 0071930 // negative regulation of transcription involved in G1/S transition of mitotic cell cycle // not recorded /// 0072332 // intrinsic apoptotic signaling pathway by p53 class mediator // inferred from direct assay /// 1990086 // lens fiber cell apoptotic process // inferred from direct assay /// 2000045 // regulation of G1/S transition of mitotic cell cycle // not recorded"	"0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // not recorded /// 0005654 // nucleoplasm // traceable author statement /// 0005667 // transcription factor complex // inferred from direct assay /// 0005737 // cytoplasm // inferred from direct assay /// 0005737 // cytoplasm // not recorded /// 0035189 // Rb-E2F complex // not recorded"	"0001047 // core promoter binding // not recorded /// 0003677 // DNA binding // not recorded /// 0003700 // sequence-specific DNA binding transcription factor activity // inferred from direct assay /// 0003700 // sequence-specific DNA binding transcription factor activity // not recorded /// 0005515 // protein binding // inferred from physical interaction /// 0008134 // transcription factor binding // inferred from physical interaction /// 0008134 // transcription factor binding // not recorded /// 0043565 // sequence-specific DNA binding // not recorded"
